comment;cleaned;normalisasi;filtered;steming_data;sentiment
Poco f6;poco f;['poco', 'f'];['poco', 'f'];['poco', 'f'];netral
𝟐𝟓𝐊𝐁𝐄𝐓 SITUS PEMERSATU BANGSA;situs pemersatu bangsa;['situs', 'pemersatu', 'bangsa'];['situs', 'pemersatu', 'bangsa'];['situs', 'satu', 'bangsa'];netral
𝟐𝟓𝐊𝐁𝐄𝐓 SITUS RESMI KOMDIGI;situs resmi komdigi;['situs', 'resmi', 'komdigi'];['situs', 'resmi', 'komdigi'];['situs', 'resmi', 'komdigi'];positif
Poco F7 ultra blm rilis😢;poco f ultra blm rilis;['poco', 'f', 'ultra', 'belum', 'rilis'];['poco', 'f', 'ultra', 'rilis'];['poco', 'f', 'ultra', 'rilis'];netral
Vivo / Poco utk daya tahan? 🤔;vivo  poco utk daya tahan;['vivo', 'poco', 'untuk', 'daya', 'tahan'];['vivo', 'poco', 'daya', 'tahan'];['vivo', 'poco', 'daya', 'tahan'];netral
Bang kasi saran dong saya punya budget 6jt nah saya ingin cari hp yg bagus kameranya bagus di ram dan buat ngegame lancar itu hp apa ya kira kira ??;bang kasi saran dong saya punya budget jt nah saya ingin cari hp yg bagus kameranya bagus di ram dan buat ngegame lancar itu hp apa ya kira kira;['abang', 'kasih', 'saran', 'dong', 'saya', 'punya', 'budget', 'juta', 'nah', 'saya', 'ingin', 'cari', 'hp', 'yang', 'bagus', 'kameranya', 'bagus', 'di', 'ram', 'dan', 'buat', 'ngegame', 'lancar', 'itu', 'hp', 'apa', 'ya', 'kira', 'kira'];['abang', 'kasih', 'saran', 'budget', 'juta', 'cari', 'hp', 'bagus', 'kameranya', 'bagus', 'ram', 'ngegame', 'lancar', 'hp', 'ya'];['abang', 'kasih', 'saran', 'budget', 'juta', 'cari', 'hp', 'bagus', 'kamera', 'bagus', 'ram', 'ngegame', 'lancar', 'hp', 'ya'];netral
Iqoo 13 kok ga ada min;iqoo  kok ga ada min;['iqoo', 'kok', 'tidak', 'ada', 'min'];['iqoo', 'min'];['iqoo', 'min'];netral
Saya pake techno comon 40 puas banget;saya pake techno comon  puas banget;['saya', 'pakai', 'techno', 'comon', 'puas', 'banget'];['pakai', 'techno', 'comon', 'puas', 'banget'];['pakai', 'techno', 'comon', 'puas', 'banget'];positif
Asli makin tertarik sama handphone di range 2-4 jt. Lagi pada gokil-gokil fiturnya jirrrrr;asli makin tertarik sama handphone di range  jt lagi pada gokilgokil fiturnya jirrrrr;['asli', 'makin', 'tertarik', 'sama', 'handphone', 'di', 'range', 'juta', 'lagi', 'pada', 'gokilgokil', 'fiturnya', 'jirrrrr'];['asli', 'tertarik', 'handphone', 'range', 'juta', 'gokilgokil', 'fiturnya', 'jirrrrr'];['asli', 'tarik', 'handphone', 'range', 'juta', 'gokilgokil', 'fiturnya', 'jirrrrr'];netral
Tecno pova 6 pro baguss gakk(mohon jawab minn)🙏;tecno pova  pro baguss gakkmohon jawab minn;['tecno', 'pova', 'pro', 'bagus', 'gakkmohon', 'jawab', 'minn'];['tecno', 'pova', 'pro', 'bagus', 'gakkmohon', 'minn'];['tecno', 'pova', 'pro', 'bagus', 'gakkmohon', 'minn'];netral
Pengen ganti hp lagi nunggu POCO F 7 rilis nih😢;pengen ganti hp lagi nunggu poco f  rilis nih;['pengin', 'ganti', 'hp', 'lagi', 'menunggu', 'poco', 'f', 'rilis', 'nih'];['pengin', 'ganti', 'hp', 'menunggu', 'poco', 'f', 'rilis', 'nih'];['pengin', 'ganti', 'hp', 'tunggu', 'poco', 'f', 'rilis', 'nih'];netral
Thanks you banh david gue dah beli nih hp keren sih gue dapat 1,65 di konter terdekat yang varian 8/256 baru banget beli hari ini dan bener rekomen beut buat hp 1jt setengah;thanks you banh david gue dah beli nih hp keren sih gue dapat  di konter terdekat yang varian  baru banget beli hari ini dan bener rekomen beut buat hp jt setengah;['thanks', 'you', 'banh', 'david', 'gue', 'sudah', 'beli', 'nih', 'hp', 'keren', 'sih', 'gue', 'dapat', 'di', 'konter', 'terdekat', 'yang', 'varian', 'baru', 'banget', 'beli', 'hari', 'ini', 'dan', 'benar', 'rekomen', 'banget', 'buat', 'hp', 'juta', 'setengah'];['thanks', 'you', 'banh', 'david', 'gue', 'beli', 'nih', 'hp', 'keren', 'sih', 'gue', 'konter', 'terdekat', 'varian', 'banget', 'beli', 'rekomen', 'banget', 'hp', 'juta'];['thanks', 'you', 'banh', 'david', 'gue', 'beli', 'nih', 'hp', 'keren', 'sih', 'gue', 'konter', 'dekat', 'varian', 'banget', 'beli', 'rekomen', 'banget', 'hp', 'juta'];positif
"gua user android mau nyoba ke iphone, saran tahun 2025 bagus gak ambil iphone 13 ram 256? mohon penjelasan nya dong temen""🙏😅";gua user android mau nyoba ke iphone saran tahun  bagus gak ambil iphone  ram  mohon penjelasan nya dong temen;['gua', 'user', 'android', 'mau', 'mencoba', 'ke', 'iphone', 'saran', 'tahun', 'bagus', 'tidak', 'ambil', 'iphone', 'ram', 'mohon', 'penjelasan', 'ya', 'dong', 'teman'];['gua', 'user', 'android', 'mencoba', 'iphone', 'saran', 'bagus', 'ambil', 'iphone', 'ram', 'mohon', 'penjelasan', 'ya', 'teman'];['gua', 'user', 'android', 'coba', 'iphone', 'saran', 'bagus', 'ambil', 'iphone', 'ram', 'mohon', 'jelas', 'ya', 'teman'];positif
Yakin 2025 masih betah sma IP 13, yg refresh rate ny masih 60hz, sma chipset ny udh lumayan tua.. boros batre jga, sma ultrawide ny masih burik;yakin  masih betah sma ip  yg refresh rate ny masih hz sma chipset ny udh lumayan tua boros batre jga sma ultrawide ny masih burik;['yakin', 'masih', 'betah', 'sama', 'ip', 'yang', 'refresh', 'rate', 'nya', 'masih', 'hz', 'sama', 'chipset', 'nya', 'sudah', 'lumayan', 'tua', 'boros', 'batre', 'juga', 'sama', 'ultrawide', 'nya', 'masih', 'burik'];['betah', 'ip', 'refresh', 'rate', 'nya', 'hz', 'chipset', 'nya', 'lumayan', 'tua', 'boros', 'batre', 'ultrawide', 'nya', 'burik'];['betah', 'ip', 'refresh', 'rate', 'nya', 'hz', 'chipset', 'nya', 'lumayan', 'tua', 'boros', 'batre', 'ultrawide', 'nya', 'burik'];negatif
"Bang hp yang bisa main genshin rata kanan tapi harga 500k ada gk?



Bercanda bg😅";"bang hp yang bisa main genshin rata kanan tapi harga k ada gk



bercanda bg";['abang', 'hp', 'yang', 'bisa', 'main', 'genshin', 'rata', 'kanan', 'tapi', 'harga', 'ke', 'ada', 'tidak', 'bercanda', 'bang'];['abang', 'hp', 'main', 'genshin', 'kanan', 'harga', 'bercanda', 'bang'];['abang', 'hp', 'main', 'genshin', 'kanan', 'harga', 'canda', 'bang'];netral
Samsung ga ada taji di review ini😩;samsung ga ada taji di review ini;['samsung', 'tidak', 'ada', 'taji', 'di', 'review', 'ini'];['samsung', 'taji', 'review'];['samsung', 'taji', 'review'];netral
Kira² berapa ratus juta ya yg dipajang disitu😃😃;kira berapa ratus juta ya yg dipajang disitu;['kira', 'berapa', 'ratus', 'juta', 'ya', 'yang', 'dipajang', 'disitu'];['ratus', 'juta', 'ya', 'dipajang', 'disitu'];['ratus', 'juta', 'ya', 'pajang', 'situ'];netral
Bang Infinix GT 20 pro kok ga masuk??;bang infinix gt  pro kok ga masuk;['abang', 'infinix', 'begitu', 'pro', 'kok', 'tidak', 'masuk'];['abang', 'infinix', 'pro', 'masuk'];['abang', 'infinix', 'pro', 'masuk'];netral
Makasih bang buat video rekomendasi nya, pas awal tahun beliin hp emak redmi 14C. Alhamdulillah emak suka warna biru nya+kameranya yg lumayan bagus👍🏻;makasih bang buat video rekomendasi nya pas awal tahun beliin hp emak redmi c alhamdulillah emak suka warna biru nyakameranya yg lumayan bagus;['terima kasih', 'abang', 'buat', 'video', 'rekomendasi', 'ya', 'pas', 'awal', 'tahun', 'belikan', 'hp', 'emak', 'redmi', 'sih', 'alhamdulillah', 'emak', 'suka', 'warna', 'biru', 'nyakameranya', 'yang', 'lumayan', 'bagus'];['terima kasih', 'abang', 'video', 'rekomendasi', 'ya', 'pas', 'belikan', 'hp', 'emak', 'redmi', 'sih', 'alhamdulillah', 'emak', 'suka', 'warna', 'biru', 'nyakameranya', 'lumayan', 'bagus'];['terima kasih', 'abang', 'video', 'rekomendasi', 'ya', 'pas', 'belikan', 'hp', 'emak', 'redmi', 'sih', 'alhamdulillah', 'emak', 'suka', 'warna', 'biru', 'nyakameranya', 'lumayan', 'bagus'];netral
Plis sepuh kasih tau Infinix note 50 pro rekomen gk di beli🙏😭;plis sepuh kasih tau infinix note  pro rekomen gk di beli;['plis', 'sepuh', 'kasih', 'tau', 'infinix', 'note', 'pro', 'rekomen', 'tidak', 'di', 'beli'];['plis', 'sepuh', 'kasih', 'tau', 'infinix', 'note', 'pro', 'rekomen', 'beli'];['plis', 'sepuh', 'kasih', 'tau', 'infinix', 'note', 'pro', 'rekomen', 'beli'];positif
Mending poco x7/redmi not 14 bang;mending poco xredmi not  bang;['mending', 'poco', 'xredmi', 'not', 'abang'];['mending', 'poco', 'xredmi', 'not', 'abang'];['mending', 'poco', 'xredmi', 'not', 'abang'];positif
video nya ko gelap gelap gini kaya indonesia;video nya ko gelap gelap gini kaya indonesia;['video', 'ya', 'kok', 'gelap', 'gelap', 'begini', 'kayak', 'indonesia'];['video', 'ya', 'gelap', 'gelap', 'kayak', 'indonesia'];['video', 'ya', 'gelap', 'gelap', 'kayak', 'indonesia'];netral
Poco x7 pro bisa di beli offline gk ya?;poco x pro bisa di beli offline gk ya;['poco', 'kali', 'pro', 'bisa', 'di', 'beli', 'offline', 'tidak', 'ya'];['poco', 'kali', 'pro', 'beli', 'offline', 'ya'];['poco', 'kali', 'pro', 'beli', 'offline', 'ya'];netral
Iqoo 13 gimana nih bg🤣;iqoo  gimana nih bg;['iqoo', 'bagaimana', 'nih', 'bang'];['iqoo', 'nih', 'bang'];['iqoo', 'nih', 'bang'];netral
Kok poco F series gk ada bg, padahal itu series tertingginya poco, knp yg masuk series X nya;kok poco f series gk ada bg padahal itu series tertingginya poco knp yg masuk series x nya;['kok', 'poco', 'f', 'series', 'tidak', 'ada', 'bang', 'padahal', 'itu', 'series', 'tertingginya', 'poco', 'kenapa', 'yang', 'masuk', 'series', 'kali', 'ya'];['poco', 'f', 'series', 'bang', 'series', 'tertingginya', 'poco', 'masuk', 'series', 'kali', 'ya'];['poco', 'f', 'series', 'bang', 'series', 'tinggi', 'poco', 'masuk', 'series', 'kali', 'ya'];positif
Bng bolh minta hpnya;bng bolh minta hpnya;['bang', 'bolh', 'meminta', 'hpnya'];['bang', 'bolh', 'hpnya'];['bang', 'bolh', 'hpnya'];netral
Kapok beli Infinix genap setahun pas not 40 lcd mati;kapok beli infinix genap setahun pas not  lcd mati;['kapok', 'beli', 'infinix', 'genap', 'setahun', 'pas', 'not', 'lcd', 'mati'];['kapok', 'beli', 'infinix', 'genap', 'setahun', 'pas', 'not', 'lcd', 'mati'];['kapok', 'beli', 'infinix', 'genap', 'tahun', 'pas', 'not', 'lcd', 'mati'];positif
Dari semua rekomendasi yg berhasil kebeli di lebaran ini yah KAPAL AP MIX;dari semua rekomendasi yg berhasil kebeli di lebaran ini yah kapal ap mix;['dari', 'semua', 'rekomendasi', 'yang', 'berhasil', 'kebeli', 'di', 'lebaran', 'ini', 'ya', 'kapal', 'apa', 'mix'];['rekomendasi', 'berhasil', 'kebeli', 'lebaran', 'ya', 'kapal', 'mix'];['rekomendasi', 'hasil', 'kebel', 'lebaran', 'ya', 'kapal', 'mix'];netral
Redmi 14c udah 2 bulan😊;redmi c udah  bulan;['redmi', 'sih', 'sudah', 'bulan'];['redmi', 'sih'];['redmi', 'sih'];netral
Bang kira kira Poco x7 pro juara bertahan di 4-5 JT an sampai berapa tahun lamanya;bang kira kira poco x pro juara bertahan di  jt an sampai berapa tahun lamanya;['abang', 'kira', 'kira', 'poco', 'kali', 'pro', 'juara', 'bertahan', 'di', 'juta', 'an', 'sampai', 'berapa', 'tahun', 'lamanya'];['abang', 'poco', 'kali', 'pro', 'juara', 'bertahan', 'juta', 'an'];['abang', 'poco', 'kali', 'pro', 'juara', 'tahan', 'juta', 'an'];netral
8:11 kok pas banget hape lama tetiba ngeblank pas lagi kerja setelah nonton ini. Dapet note 50 pro di 3,3 di gerai offline di BEC bandung. Dah males muter karena bawa bocil dan ga ada waktu nunggu beli online. Baru kelar install app, belum migrasi yg lain2. So far sih enak aja liat layarnya, fitur fingerprint di layar rada tricky pas enroll awal, masalah audio jack solve dengan bonus adaptor OTG typeC to audio jack. Belum dicoba, moga aman. Masih perlu adaptasi aja dari sebelumnya pake Oppo. Ntar kalo dah seminggu pake ini, kalo inget, update lagi deh disini.;kok pas banget hape lama tetiba ngeblank pas lagi kerja setelah nonton ini dapet note  pro di  di gerai offline di bec bandung dah males muter karena bawa bocil dan ga ada waktu nunggu beli online baru kelar install app belum migrasi yg lain so far sih enak aja liat layarnya fitur fingerprint di layar rada tricky pas enroll awal masalah audio jack solve dengan bonus adaptor otg typec to audio jack belum dicoba moga aman masih perlu adaptasi aja dari sebelumnya pake oppo ntar kalo dah seminggu pake ini kalo inget update lagi deh disini;['kok', 'pas', 'banget', 'hape', 'lama', 'tetiba', 'ngeblank', 'pas', 'lagi', 'kerja', 'setelah', 'menonton', 'ini', 'dapat', 'note', 'pro', 'di', 'di', 'gerai', 'offline', 'di', 'bec', 'bandung', 'sudah', 'malas', 'muter', 'karena', 'bawa', 'bocil', 'dan', 'tidak', 'ada', 'waktu', 'menunggu', 'beli', 'online', 'baru', 'kelar', 'install', 'app', 'belum', 'migrasi', 'yang', 'lain', 'sok', 'far', 'sih', 'enak', 'saja', 'lihat', 'layarnya', 'fitur', 'fingerprint', 'di', 'layar', 'rada', 'tricky', 'pas', 'enroll', 'awal', 'masalah', 'audio', 'jack', 'solve', 'dengan', 'bonus', 'adaptor', 'otg', 'typec', 'tapi', 'audio', 'jack', 'belum', 'dicoba', 'moga', 'aman', 'masih', 'perlu', 'adaptasi', 'saja', 'dari', 'sebelumnya', 'pakai', 'oppo', 'entar', 'kalau', 'sudah', 'seminggu', 'pakai', 'ini', 'kalau', 'ingat', 'update', 'lagi', 'deh', 'disini'];['pas', 'banget', 'hape', 'tetiba', 'ngeblank', 'pas', 'kerja', 'menonton', 'note', 'pro', 'gerai', 'offline', 'bec', 'bandung', 'malas', 'muter', 'bawa', 'bocil', 'menunggu', 'beli', 'online', 'kelar', 'install', 'app', 'migrasi', 'sok', 'far', 'sih', 'enak', 'lihat', 'layarnya', 'fitur', 'fingerprint', 'layar', 'rada', 'tricky', 'pas', 'enroll', 'audio', 'jack', 'solve', 'bonus', 'adaptor', 'otg', 'typec', 'audio', 'jack', 'dicoba', 'moga', 'aman', 'adaptasi', 'pakai', 'oppo', 'entar', 'seminggu', 'pakai', 'update', 'deh'];['pas', 'banget', 'hape', 'tetiba', 'ngeblank', 'pas', 'kerja', 'tonton', 'note', 'pro', 'gerai', 'offline', 'bec', 'bandung', 'malas', 'muter', 'bawa', 'bocil', 'tunggu', 'beli', 'online', 'kelar', 'install', 'app', 'migrasi', 'sok', 'far', 'sih', 'enak', 'lihat', 'layar', 'fitur', 'fingerprint', 'layar', 'rada', 'tricky', 'pas', 'enroll', 'audio', 'jack', 'solve', 'bonus', 'adaptor', 'otg', 'typec', 'audio', 'jack', 'coba', 'moga', 'aman', 'adaptasi', 'pakai', 'oppo', 'entar', 'minggu', 'pakai', 'update', 'deh'];positif
bang updateee donkk banggg;bang updateee donkk banggg;['abang', 'updateee', 'dong', 'banggg'];['abang', 'updateee', 'banggg'];['abang', 'updateee', 'banggg'];netral
updatenya gimna...?;updatenya gimna;['updatenya', 'bagaimana'];['updatenya'];['updatenya'];netral
Bang bikin rekomendasi tablet/ipad/tab dong;bang bikin rekomendasi tabletipadtab dong;['abang', 'bikin', 'rekomendasi', 'tabletipadtab', 'dong'];['abang', 'bikin', 'rekomendasi', 'tabletipadtab'];['abang', 'bikin', 'rekomendasi', 'tabletipadtab'];netral
kopi kapal api special mix sekarang susah nyarinya, entah di warung ataupun di toko modern. kadang kalau kehabisan stock di kantor, suka kesal wkwkwkwkwk....;kopi kapal api special mix sekarang susah nyarinya entah di warung ataupun di toko modern kadang kalau kehabisan stock di kantor suka kesal wkwkwkwkwk;['kopi', 'kapal', 'api', 'special', 'mix', 'sekarang', 'susah', 'nyarinya', 'entah', 'di', 'warung', 'ataupun', 'di', 'toko', 'modern', 'kadang', 'kalau', 'kehabisan', 'stock', 'di', 'kantor', 'suka', 'kesal', 'wkwkwkwkwk'];['kopi', 'kapal', 'api', 'special', 'mix', 'susah', 'nyarinya', 'warung', 'toko', 'modern', 'kadang', 'kehabisan', 'stock', 'kantor', 'suka', 'kesal', 'wkwkwkwkwk'];['kopi', 'kapal', 'api', 'special', 'mix', 'susah', 'nyarinya', 'warung', 'toko', 'modern', 'kadang', 'habis', 'stock', 'kantor', 'suka', 'kesal', 'wkwkwkwkwk'];negatif
Dana 25jt paling bagus hp apa ya;dana jt paling bagus hp apa ya;['dana', 'juta', 'paling', 'bagus', 'hp', 'apa', 'ya'];['dana', 'juta', 'bagus', 'hp', 'ya'];['dana', 'juta', 'bagus', 'hp', 'ya'];netral
Xiaomi 14t goat gak ada obat;xiaomi t goat gak ada obat;['xiaomi', 't', 'goat', 'tidak', 'ada', 'obat'];['xiaomi', 't', 'goat', 'obat'];['xiaomi', 't', 'goat', 'obat'];netral
Bang lu masuk TV di trans7 yg blender pink itu!;bang lu masuk tv di trans yg blender pink itu;['abang', 'kamu', 'masuk', 'tv', 'di', 'trans', 'yang', 'blender', 'pink', 'itu'];['abang', 'masuk', 'tv', 'trans', 'blender', 'pink'];['abang', 'masuk', 'tv', 'trans', 'blender', 'pink'];netral
Mampir Gaes 😅😅😅;mampir gaes;['mampir', 'gaes'];['mampir', 'gaes'];['mampir', 'gaes'];netral
Iqoo13 ga masuk yah;iqoo ga masuk yah;['iqoo', 'tidak', 'masuk', 'ya'];['iqoo', 'masuk', 'ya'];['iqoo', 'masuk', 'ya'];netral
Infinix note 40 ghoib bang;infinix note  ghoib bang;['infinix', 'note', 'ghoib', 'abang'];['infinix', 'note', 'ghoib', 'abang'];['infinix', 'note', 'ghoib', 'abang'];netral
(((duit panas))) 😂;duit panas;['duit', 'panas'];['duit', 'panas'];['duit', 'panas'];netral
"min mau nanya mending ambil infinix 50 pro
atau iqoo z9 5g?";"min mau nanya mending ambil infinix  pro
atau iqoo z g";['min', 'mau', 'bertanya', 'mending', 'ambil', 'infinix', 'pro', 'atau', 'iqoo', 'saja', 'tidak'];['min', 'mending', 'ambil', 'infinix', 'pro', 'iqoo'];['min', 'mending', 'ambil', 'infinix', 'pro', 'iqoo'];positif
Saran dong guys hp buat game mending ambil motorola g45/tecno camon 40;saran dong guys hp buat game mending ambil motorola gtecno camon;['saran', 'dong', 'guys', 'hp', 'buat', 'game', 'mending', 'ambil', 'motorola', 'gtecno', 'camon'];['saran', 'guys', 'hp', 'game', 'mending', 'ambil', 'motorola', 'gtecno', 'camon'];['saran', 'guys', 'hp', 'game', 'mending', 'ambil', 'motorola', 'gtecno', 'camon'];positif
Infinix gt30 pro 😈 PUBG 120fps 512gb 😏☠️;infinix gt pro  pubg fps gb;['infinix', 'begitu', 'pro', 'pubg', 'fps', 'gb'];['infinix', 'pro', 'pubg', 'fps', 'gb'];['infinix', 'pro', 'pubg', 'fps', 'gb'];netral
Pake Infinix untuk jangka panjang bagus ga sih?;pake infinix untuk jangka panjang bagus ga sih;['pakai', 'infinix', 'untuk', 'jangka', 'panjang', 'bagus', 'tidak', 'sih'];['pakai', 'infinix', 'jangka', 'bagus', 'sih'];['pakai', 'infinix', 'jangka', 'bagus', 'sih'];netral
Xiaomi 14 t pro apa IP 15🤔;xiaomi  t pro apa ip;['xiaomi', 't', 'pro', 'apa', 'ip'];['xiaomi', 't', 'pro', 'ip'];['xiaomi', 't', 'pro', 'ip'];netral
Itel belom dicoba bang?  Wkwkwk;itel belom dicoba bang  wkwkwk;['itel', 'belum', 'dicoba', 'abang', 'wkwkwk'];['itel', 'dicoba', 'abang', 'wkwkwk'];['itel', 'coba', 'abang', 'wkwkwk'];netral
😮;;[];[];[];netral
Menurut abang gimana infinix G30pro;menurut abang gimana infinix gpro;['menurut', 'abang', 'bagaimana', 'infinix', 'gpro'];['abang', 'infinix', 'gpro'];['abang', 'infinix', 'gpro'];netral
Alhamdulillah udah kebeli X7 Pro 5G 😁;alhamdulillah udah kebeli x pro g;['alhamdulillah', 'sudah', 'kebeli', 'kali', 'pro', 'tidak'];['alhamdulillah', 'kebeli', 'kali', 'pro'];['alhamdulillah', 'kebel', 'kali', 'pro'];netral
Masih pake realme 10 masih nyaman pooll;masih pake realme  masih nyaman pooll;['masih', 'pakai', 'realme', 'masih', 'nyaman', 'pooll'];['pakai', 'realme', 'nyaman', 'pooll'];['pakai', 'realme', 'nyaman', 'pooll'];positif
Kak, gabakal bagi aku hp nya? 😭;kak gabakal bagi aku hp nya;['kak', 'tidak bakal', 'bagi', 'aku', 'hp', 'ya'];['kak', 'tidak bakal', 'hp', 'ya'];['kak', 'tidak bakal', 'hp', 'ya'];netral
bagus poco f6 apa x7 pro bang buat HP utama?;bagus poco f apa x pro bang buat hp utama;['bagus', 'poco', 'f', 'apa', 'kali', 'pro', 'abang', 'buat', 'hp', 'utama'];['bagus', 'poco', 'f', 'kali', 'pro', 'abang', 'hp', 'utama'];['bagus', 'poco', 'f', 'kali', 'pro', 'abang', 'hp', 'utama'];positif
Motorola bagus gak sjh;motorola bagus gak sjh;['motorola', 'bagus', 'tidak', 'sjh'];['motorola', 'bagus', 'sjh'];['motorola', 'bagus', 'sjh'];netral
Rencana ganti hp, gua selalu liat rekomen dari gedgetin😂😂. Sekaranh lagi pakai hp redmi note 8 pro. Jadul banget yaa;rencana ganti hp gua selalu liat rekomen dari gedgetin sekaranh lagi pakai hp redmi note  pro jadul banget yaa;['rencana', 'ganti', 'hp', 'gua', 'selalu', 'lihat', 'rekomen', 'dari', 'gedgetin', 'sekaranh', 'lagi', 'pakai', 'hp', 'redmi', 'note', 'pro', 'jadul', 'banget', 'ya'];['rencana', 'ganti', 'hp', 'gua', 'lihat', 'rekomen', 'gedgetin', 'sekaranh', 'pakai', 'hp', 'redmi', 'note', 'pro', 'jadul', 'banget', 'ya'];['rencana', 'ganti', 'hp', 'gua', 'lihat', 'rekomen', 'gedgetin', 'sekaranh', 'pakai', 'hp', 'redmi', 'note', 'pro', 'jadul', 'banget', 'ya'];netral
Aku sih bagus pilih redmi 14C Aja soalnya aku sekarang pakek redmi 12c jdi mau beli yg 14C 😂😂😂😂;aku sih bagus pilih redmi c aja soalnya aku sekarang pakek redmi c jdi mau beli yg c;['aku', 'sih', 'bagus', 'pilih', 'redmi', 'sih', 'saja', 'soalnya', 'aku', 'sekarang', 'pakai', 'redmi', 'sih', 'jadi', 'mau', 'beli', 'yang', 'sih'];['sih', 'bagus', 'pilih', 'redmi', 'sih', 'pakai', 'redmi', 'sih', 'beli', 'sih'];['sih', 'bagus', 'pilih', 'redmi', 'sih', 'pakai', 'redmi', 'sih', 'beli', 'sih'];netral
Bang pengen nanya soalnya masih bingung ,bagusan Infinix hot 50pro+ atau note 50  pro ,bantu di jawab bang;bang pengen nanya soalnya masih bingung bagusan infinix hot pro atau note   pro bantu di jawab bang;['abang', 'pengin', 'bertanya', 'soalnya', 'masih', 'bingung', 'bagusan', 'infinix', 'hot', 'pro', 'atau', 'note', 'pro', 'bantu', 'di', 'jawab', 'abang'];['abang', 'pengin', 'bingung', 'bagusan', 'infinix', 'hot', 'pro', 'note', 'pro', 'bantu', 'abang'];['abang', 'pengin', 'bingung', 'bagus', 'infinix', 'hot', 'pro', 'note', 'pro', 'bantu', 'abang'];negatif
Poco F6 sdh gak recommended ya ???;poco f sdh gak recommended ya;['poco', 'f', 'sudah', 'tidak', 'recommended', 'ya'];['poco', 'f', 'recommended', 'ya'];['poco', 'f', 'recommended', 'ya'];netral
saya jual infinix hot 50 6/256 aja 1.550 gk laku-laku padahal G100;saya jual infinix hot   aja  gk lakulaku padahal g;['saya', 'jual', 'infinix', 'hot', 'saja', 'tidak', 'lakulaku', 'padahal', 'tidak'];['jual', 'infinix', 'hot', 'lakulaku'];['jual', 'infinix', 'hot', 'lakulaku'];netral
Gak puasa dia😂😂😂😂;gak puasa dia;['tidak', 'puasa', 'dia'];['puasa'];['puasa'];netral
Kapang bang review hp poco f7  dan di bandingkan hp lain?;kapang bang review hp poco f  dan di bandingkan hp lain;['kapang', 'abang', 'review', 'hp', 'poco', 'f', 'dan', 'di', 'bandingkan', 'hp', 'lain'];['kapang', 'abang', 'review', 'hp', 'poco', 'f', 'bandingkan', 'hp'];['kapang', 'abang', 'review', 'hp', 'poco', 'f', 'banding', 'hp'];netral
Infinix note 50 pro+ nyusul nanti bg;infinix note  pro nyusul nanti bg;['infinix', 'note', 'pro', 'menyusul', 'nanti', 'bang'];['infinix', 'note', 'pro', 'menyusul', 'bang'];['infinix', 'note', 'pro', 'susul', 'bang'];netral
"Bang, Next buat konten rekomendasi jgn hanya 1 hp aja di setiap kategorinya, kasih minimal 3 yg terbaik lah bang, contoh :
Di harga 2 jt an yg pertama ada tecno common 40 dan yg terbaik ke 2 ada realme dan terbaik yg ke 3 ada motorola.
Di acc bang 🙏";"bang next buat konten rekomendasi jgn hanya  hp aja di setiap kategorinya kasih minimal  yg terbaik lah bang contoh 
di harga  jt an yg pertama ada tecno common  dan yg terbaik ke  ada realme dan terbaik yg ke  ada motorola
di acc bang";['abang', 'next', 'buat', 'konten', 'rekomendasi', 'jangan', 'hanya', 'hp', 'saja', 'di', 'setiap', 'kategorinya', 'kasih', 'minimal', 'yang', 'terbaik', 'lah', 'abang', 'contoh', 'di', 'harga', 'juta', 'an', 'yang', 'pertama', 'ada', 'tecno', 'common', 'dan', 'yang', 'terbaik', 'ke', 'ada', 'realme', 'dan', 'terbaik', 'yang', 'ke', 'ada', 'motorola', 'di', 'acc', 'abang'];['abang', 'next', 'konten', 'rekomendasi', 'hp', 'kategorinya', 'kasih', 'minimal', 'terbaik', 'abang', 'contoh', 'harga', 'juta', 'an', 'tecno', 'common', 'terbaik', 'realme', 'terbaik', 'motorola', 'acc', 'abang'];['abang', 'next', 'konten', 'rekomendasi', 'hp', 'kategori', 'kasih', 'minimal', 'baik', 'abang', 'contoh', 'harga', 'juta', 'an', 'tecno', 'common', 'baik', 'realme', 'baik', 'motorola', 'acc', 'abang'];negatif
Videony sdh mewakili, setidaknya kandidat yg disebutkan david sdh msuk kategori terbaik di range priceny;videony sdh mewakili setidaknya kandidat yg disebutkan david sdh msuk kategori terbaik di range priceny;['videony', 'sudah', 'mewakili', 'setidaknya', 'kandidat', 'yang', 'disebutkan', 'david', 'sudah', 'masuk', 'kategori', 'terbaik', 'di', 'range', 'priceny'];['videony', 'mewakili', 'kandidat', 'david', 'masuk', 'kategori', 'terbaik', 'range', 'priceny'];['videony', 'wakil', 'kandidat', 'david', 'masuk', 'kategori', 'baik', 'range', 'priceny'];netral
hp 1 jutaan buat gaming yg bagus mana;hp  jutaan buat gaming yg bagus mana;['hp', 'jutaan', 'buat', 'gaming', 'yang', 'bagus', 'mana'];['hp', 'jutaan', 'gaming', 'bagus'];['hp', 'juta', 'gaming', 'bagus'];netral
Ribet vivo y27;ribet vivo y;['ribet', 'vivo', 'ya'];['ribet', 'vivo', 'ya'];['ribet', 'vivo', 'ya'];netral
