;komentar;label;step01
120;<username> <username> Bro gw pendukung sty dr awal. Tp ini uda kelamaan dan alesannya mutar muter itu aja. Awal2 sty bagus, tp lama2 ga jelas dan dipertanyakan mulai dr taktik dan pemainnya. Cb itu pelatih lokal pasti uda lama dipecat, standartnya ganda pssi yg skrg dan kental buzzernya..;negatif;  bro gw pendukung sty dr awal tp ini uda kelamaan dan alesannya mutar muter itu aja awal sty bagus tp lama ga jelas dan dipe anyakan mulai dr taktik dan pemainnya cb itu pelatih lokal pasti uda lama dipecat standa nya ganda pssi yg skrg dan kental buzzernya
121;<username> <username> Percuma aja pake pemain keturunan kalo pelatih nya aja gak bisa komunikasi dengan baik jadinya ambyar, mending ganti tuh sty, pake pelatih yg bisa komunikasi dgn baik seperti giovani van bronkhorst atau pieter huistra, pasti gacor deh pak erik.;negatif;  percuma aja pake pemain keturunan kalo pelatih nya aja gak bisa komunikasi dengan baik jadinya ambyar mending ganti tuh sty pake pelatih yg bisa komunikasi dgn baik sepe i giovani van bronkhorst atau pieter huistra pasti gacor deh pak erik
122;Lebih bisa berpikir positif percaya prosesnya Thomas Doll di Persija daripada percaya prosesnya STY di Timnas. ðŸ™;negatif;lebih bisa berpikir positif percaya prosesnya thomas doll di persija daripada percaya prosesnya sty di timnas
123;<username> Percuma kalo pelatih nya STY, yg main ttep Dendy sama asnawi;negatif; percuma kalo pelatih nya sty yg main ttep dendy sama asnawi
124;<username> <username> Takutnya kyk lilipaly gitu ga kepake sama pelatih sekelas STY;negatif;  takutnya kyk lilipaly gitu ga kepake sama pelatih sekelas sty
125;<username> <username> Pemain lain masih ada, istirahat kalau masih capek.  Pemain lain udah ikut TC lama ya udah siap main, ini baru Dateng dipaksain main. Hadeeh STY OUT;negatif;  pemain lain masih ada istirahat kalau masih capek pemain lain udah ikut tc lama ya udah siap main ini baru dateng dipaksain main hadeeh sty out
126;<username> STY udahan lah.  capek dia.  <username> fokus benahi kompetisi lokal dulu.;negatif; sty udahan lah capek dia  fokus benahi kompetisi lokal dulu
127;setelah rewatch Indonesia VS Libya. Satu yang harus dibenahi sama STY. Off the ball pemain kita jelek :(;negatif;setelah rewatch indonesia vs libya satu yang harus dibenahi sama sty off the ball pemain kita jelek
128;<username> Mending taktik satu aja terus dihapalin pemain sampai mateng, yg dinaturalisasi belakang yg blunder belakang juga... PR sty bagaimana membuat pemain naturalisasi mau bekerja keras;negatif; mending taktik satu aja terus dihapalin pemain sampai mateng yg dinaturalisasi belakang yg blunder belakang juga pr sty bagaimana membuat pemain naturalisasi mau bekerja keras
129;<username> <username> STY itu cuma nyari kambing hitam dari kegagalannya. Kebantai sama Irak, dikambinghitamkan Nadeo. Gagal di AFF sama SEA Games, dikambinghitamkan pemain lokal. Draw lawan Filipina, disalahkan lapang sama main away.;negatif;  sty itu cuma nyari kambing hitam dari kegagalannya kebantai sama irak dikambinghitamkan nadeo gagal di aff sama sea games dikambinghitamkan pemain lokal draw lawan filipina disalahkan lapang sama main away
130;<username> <username> Pemain naturalisasi kaya pemain tarkam,apa ini Karna strategi sty yg ngaco;negatif;  pemain naturalisasi kaya pemain tarkam apa ini karna strategi sty yg ngaco
131;<username> <username> <username> Mohon maaf mas sty minta ny kiper yg bisa buildup dari bwah bukan yng ngnadelin long up ðŸ™Œ;negatif;   mohon maaf mas sty minta ny kiper yg bisa buildup dari bwah bukan yng ngnadelin long up
132;<username> <username> Kebanyakan makan mie....lawakðŸ˜œSTY is OUT;negatif;  kebanyakan makan mie lawak sty is out
133;<username> <username> Bener sih STY terlalu nyaman;negatif;  bener sih sty terlalu nyaman
134;<username> Bek bego, ngapain kayak main futsal depan gawang passing passing ga jelas. Kalian masih percaya STY? Masih mau naturalisasi pemain terus? Hasilnya nol besar semua ðŸ˜€;negatif; bek bego ngapain kayak main futsal depan gawang passing passing ga jelas kalian masih percaya sty masih mau naturalisasi pemain terus hasilnya nol besar semua
135;<username> Kali ini sory to say , STY dah mentok. Bedanya sama PHS .. PHS konsisten STY malah coba coba mulu;negatif; kali ini sory to say sty dah mentok bedanya sama phs phs konsisten sty malah coba coba mulu
136;"<username> izin sedikit menambahkan bung opik, pemilihan pemain yang dilakukan oleh coach sty ini patut di pertanyakan, saya ambil contoh LORD Dendy sang anak emas sty yang sudah berkali menjadi starter tapi tidak perform juga amit"" #opinidenganadab""";negatif; izin sedikit menambahkan bung opik pemilihan pemain yang dilakukan oleh coach sty ini patut di pe anyakan saya ambil contoh lord dendy sang anak emas sty yang sudah berkali menjadi sta er tapi tidak perform juga amit
137;<username> Knp dah perasaan awal2 dpgang sty bagus bener skrng jd merosot  Apa krna perlawanan nya yg beda??;negatif; knp dah perasaan awal dpgang sty bagus bener skrng jd merosot apa krna perlawanan nya yg beda
138;<username> sty suruh jadi coach timnas amin aja dah;negatif; sty suruh jadi coach timnas amin aja dah
139;<username> salah di STY ga bawa fano;negatif; salah di sty ga bawa fano
140;<username> Yh salah pelatih dong, krn pelatih hebat pasti mampu mengakomodasi kualitas pemainnya, klo pemain ga bisa maen possesion yg jgn main itu, pemilihan pemainnya juga byk kurang tepat kok STY, contoh dendy ma egy itu ga banget maennya;negatif; yh salah pelatih dong krn pelatih hebat pasti mampu mengakomodasi kualitas pemainnya klo pemain ga bisa maen possesion yg jgn main itu pemilihan pemainnya juga byk kurang tepat kok sty contoh dendy ma egy itu ga banget maennya
141;<username> kayaknya STY kena teluh,kwkwkwkkw;negatif; kayaknya sty kena teluh kwkwkwkkw
142;<username> Kemampuan STY sudah mentok dgn personil Garuda.;negatif; kemampuan sty sudah mentok dgn personil garuda
143;<username> wkwkwk sampe agak kacau krn mertahanin gaya main, tapi keliatannya sekacau apapun gaada perubahan taktik selama pertandingan (pdhl di pertandingan kompetitif sty sering ubah2 taktik), kemungkinan besar ini akan jadi pakem taktik buat piala asia cmiiw;negatif; wkwkwk sampe agak kacau krn me ahanin gaya main tapi keliatannya sekacau apapun gaada perubahan taktik selama pe andingan pdhl di pe andingan kompetitif sty sering ubah taktik kemungkinan besar ini akan jadi pakem taktik buat piala asia cmiiw
144;<username> setuju bngt bro...first half eksperimen STY Gagal total tuh. pemaen lokal yg diFirst half pada prett semua maennya gajelas ga bisa apa2 bkin bnyk kesalahan...klo klh satu gol masih dimaklumin,ini 4 gol tanpa balas. memalukan;negatif; setuju bngt bro first half eksperimen sty gagal total tuh pemaen lokal yg difirst half pada prett semua maennya gajelas ga bisa apa bkin bnyk kesalahan klo klh satu gol masih dimaklumin ini   gol tanpa balas memalukan
145;<username> Tolong  selamatkan Timnas, jika mmg hasil buruk terus menerpa, segera saja STY diberhentikan, sakit hati kami dengan hasil semalam;negatif; tolong selamatkan timnas jika mmg hasil buruk terus menerpa segera saja sty diberhentikan sakit hati kami dengan hasil semalam
146;<username> Komunikasi..satu kekurangan sty gk bs bhs inggris.;negatif; komunikasi satu kekurangan sty gk bs bhs inggris
147;Saran ke STY, latih pemain utk bikin gol ke gawang lawan, aturan baru di spbola hal itu diperbolehkan....;negatif;saran ke sty latih pemain utk bikin gol ke gawang lawan aturan baru di spbola hal itu diperbolehkan
148;<username> jelasin donk knp sandy walsh kmrn gak maen ya? Capek? Cedera atau bgmn ya?? Lbh pilih maksa witan jd bek kanan... Apa STY sbgitu gak suka nya sama Sandy Walsh????;negatif; jelasin donk knp sandy walsh kmrn gak maen ya capek cedera atau bgmn ya lbh pilih maksa witan jd bek kanan apa sty sbgitu gak suka nya sama sandy walsh
149;<username> Pak timnas kita keog lagi pak dengan skor mencolok lagi ðŸ™‚, tolong bilangin ke STY jangan gonta-ganti formasi permainan pak kalo bisa semua pemain keturunan yg ada di line up diturunin semuanya besok di leg ke 2 biar ngga kebantai lagi;negatif; pak timnas kita keog lagi pak dengan skor mencolok lagi tolong bilangin ke sty jangan gonta ganti formasi permainan pak kalo bisa semua pemain keturunan yg ada di line up diturunin semuanya besok di leg ke   biar ngga kebantai lagi
150;<username> <username> carlo ancelotti juga bagus ,tp ketika dia mulai jelek ya d8ganti zidane hasilnya real madrid  tambah keren   PSSI bisa meniru ini ganti STY dgn pelatih baru;negatif;  carlo ancelotti juga bagus tp ketika dia mulai jelek ya dganti zidane hasilnya real madrid tambah keren pssi bisa meniru ini ganti sty dgn pelatih baru
151;formasi 4-2-2-2 yg dicoba coach STY kemaren emang bener-bener baru dan keliatan banyak celahnya. apalagi di babak ke-2 yg sampe mainin Marselino di posisi no. 8 (bukan di no. 10 yg biasa dia main). jadi ya jelas, kacau.  tapi ya itu fungsinya laga uji coba ya, kan? ðŸ˜„;negatif;formasi         yg dicoba coach sty kemaren emang bener bener baru dan keliatan banyak celahnya apalagi di babak ke   yg sampe mainin marselino di posisi no   bukan di no   yg biasa dia main jadi ya jelas kacau tapi ya itu fungsinya laga uji coba ya kan
152;<username> <username> STY kelas mana ðŸ˜‚;negatif;  sty kelas mana
153;"<username> Dengan skuad rasa Eropa"" sepertinya taktik STY malah kurang cocok dengan gaya permainan liga Eropa ya. Bisa jadi STY akan diganti pelatih asal Eropa. Who knows? ðŸ˜Œ""";negatif; dengan skuad rasa eropa sepe inya taktik sty malah kurang cocok dengan gaya permainan liga eropa ya bisa jadi sty akan diganti pelatih asal eropa who knows
154;"<username> Dengan skuad rasa Eropa"" sepertinya taktik STY malah kurang cocok dengan gaya permainan liga Eropa ya. Bisa jadi STY akan diganti pelatih asal Eropa. Who knows? ðŸ˜Œ""";negatif; dengan skuad rasa eropa sepe inya taktik sty malah kurang cocok dengan gaya permainan liga eropa ya bisa jadi sty akan diganti pelatih asal eropa who knows
155;<username> <username> memang akhir perjalanan STY bentar lagi keknya bang;negatif;  memang akhir perjalanan sty bentar lagi keknya bang
156;<username> NADEO main di tiga match kualifikasi piala Asia lalu dan melakukan banyak save lawan Kuwait dan Oman. Hanya karena kesalahan lawan Irak lalu pdhal beknya bapuk. STY ga bijak saat itu. Setidaknya dia dipanggil ke Asia entah jadi kiper 1,2 atau 3. Lagian diklub lagi perfome;negatif; nadeo main di tiga match kualifikasi piala asia lalu dan melakukan banyak save lawan kuwait dan oman hanya karena kesalahan lawan irak lalu pdhal beknya bapuk sty ga bijak saat itu setidaknya dia dipanggil ke asia entah jadi kiper     atau   lagian diklub lagi perfome
157;Saatnya dibehentikan. Bukan STY yg tak bagus. SDM sepak bola kita yg tidak kuncung muncul krn pembinaan yg masih asal. Sekaliber apapun pelatih akan mentok pd akhirnya. PR besar, Pembinaan. Kurikulum Sekolah Sepak Bola harus ada. Jgn usia muda gila kompetisi. Paham <username>?;negatif;saatnya dibehentikan bukan sty yg tak bagus sdm sepak bola kita yg tidak kuncung muncul krn pembinaan yg masih asal sekaliber apapun pelatih akan mentok pd akhirnya pr besar pembinaan kurikulum sekolah sepak bola harus ada jgn usia muda gila kompetisi paham 
158;<username> <username> Wkwk uda brp tahun ini sty dan target gagal semua msh blg jgn terlalu dini;negatif;  wkwk uda brp tahun ini sty dan target gagal semua msh blg jgn terlalu dini
159;<username> <username> Berarti dibawah STY  timnas jadi jelek  yang dulu bisa dikalahin sekarang gk bisa;negatif;  bera i dibawah sty timnas jadi jelek yang dulu bisa dikalahin sekarang gk bisa
160;<username> Beresin sepak bola aja boss.. naturalisasi ya..  piala Asia ya... Kanjuruhan ya..  Apa minat jadi gubernur jakarta?;negatif; beresin sepak bola aja boss naturalisasi ya piala asia ya kanjuruhan ya apa minat jadi gubernur jaka a
161;Kalah lagi naturalisasi lagi, kalah nambah lagi naturalisasi... tetep pecundang? akhirnya skuad inti 99% legiun asingðŸ˜… (mirip filipina sm singapore beberapa tahun lalu).  Filipina sm singapore wajar karena kekurangan SDM olahraga, bcos negeri kecil n bkn negara bola,, lah kita?;negatif;kalah lagi naturalisasi lagi kalah nambah lagi naturalisasi tetep pecundang akhirnya skuad inti   legiun asing mirip filipina sm singapore beberapa tahun lalu filipina sm singapore wajar karena kekurangan sdm olahraga bcos negeri kecil bkn negara bola lah kita
162;<username> <username> <username> <username> Udah naturalisasi kali kayak pemainÂ² sepak bola ðŸ˜œ;negatif;    udah naturalisasi kali kayak pemain sepak bola
163;<username> 270 juta rakyat Indonesia gak dapat 11 orang yg jago main bola shg naturalisasi banyak pemain luar diperlukan. Nonton bola gak lagi seseru klo rakyat asli Indonesia yg main. Rakyat gak lagi merasa memiliki kesebelasan nasional;negatif;   juta rakyat indonesia gak dapat   orang yg jago main bola shg naturalisasi banyak pemain luar diperlukan nonton bola gak lagi seseru klo rakyat asli indonesia yg main rakyat gak lagi merasa memiliki kesebelasan nasional
164;Jargon NKRI harga mati gak berlaku buat BOLA hahaha payah sah 200 juta lebih rakyat indonesia eh malah naturalisasi;negatif;jargon nkri harga mati gak berlaku buat bola hahaha payah sah   juta lebih rakyat indonesia eh malah naturalisasi
165;<username> CUMA BISA MAIN BOLA KETIKA ADA PEMAIN ASIN- EH NATURALISASI? https://t.co/0YhMiS1VoU;negatif; cuma bisa main bola ketika ada pemain asin eh naturalisasi coyhmisvou
166;<username> <username> <username> Nah ini lah lo termasuk org yg membentur-benturkan lokal sama naturalisasi korban omongan STY yg suka menjelek-jelekan lokal dan mengagung-agungkan naturalisasi.;negatif;   nah ini lah lo termasuk org yg membentur benturkan lokal sama naturalisasi korban omongan sty yg suka menjelek jelekan lokal dan mengagung agungkan naturalisasi
167;Naturalisasi pemain asing adl program PSSI yg memalukan bangsa ini krn dunia luar menganggap dari 270 juga rakyat gak ada bahkan 11 orang yg jago main bola pdhl PSSI yg tlh gagal membina dan mencari bibit pemain. PSSI hrs menghentikan program hina ini;negatif;naturalisasi pemain asing adl program pssi yg memalukan bangsa ini krn dunia luar menganggap dari   juga rakyat gak ada bahkan   orang yg jago main bola pdhl pssi yg tlh gagal membina dan mencari bibit pemain pssi hrs menghentikan program hina ini
168;Ya pantes aja masih banyak yg kontra naturalisasi half-blood. Mungkin masih banyak yg trauma sm yg modelan bgini. Semoga pemain2 yg skrg bs jd contoh yg lebih baik, di dalam maupun luar lapangan.;negatif;ya pantes aja masih banyak yg kontra naturalisasi half blood mungkin masih banyak yg trauma sm yg modelan bgini semoga pemain yg skrg bs jd contoh yg lebih baik di dalam maupun luar lapangan
169;Kita maunya instan, mau target besar tapi dgn cara instan. Naturalisasi dijadikan solusi bukan dgn membenahi sekolah sepak bola, kurikukum sekolah sepak bola, kompetisi usia muda yg masih centang prenang gak tahu arah juntrungannya. Kita sudah gagal krn tak mau belajar.;negatif;kita maunya instan mau target besar tapi dgn cara instan naturalisasi dijadikan solusi bukan dgn membenahi sekolah sepak bola kurikukum sekolah sepak bola kompetisi usia muda yg masih centang prenang gak tahu arah juntrungannya kita sudah gagal krn tak mau belajar
170;<username> <username> Wajar kalah, emang pantas kalah... Kualitas timnas juga cermin dari kualitas liga nya sendiri. Liga acak kadut tarkam dan problematik, grasak grusuk ga ada skill yang penting nendang bola, disatuin ma naturalisasi jg jadi lawak. Minyak jelantah di satuin ma aer kobokan ga nyatu..;negatif;  wajar kalah emang pantas kalah kualitas timnas juga cermin dari kualitas liga nya sendiri liga acak kadut tarkam dan problematik grasak grusuk ga ada skill yang penting nendang bola disatuin ma naturalisasi jg jadi lawak minyak jelantah di satuin ma aer kobokan ga nyatu
171;<username> <username> Naturalisasi gak naturalisasi sama aja sih buruknya sepakbola Indonesia. Mungkin emang bukan negara bola kali y, tapi negara politikus.;negatif;  naturalisasi gak naturalisasi sama aja sih buruknya sepakbola indonesia mungkin emang bukan negara bola kali tapi negara politikus
172;<username> <username> Mau naturalisasi Messi pun gk ngaruh Negara MALING kok di suruh maen bola;negatif;  mau naturalisasi messi pun gk ngaruh negara maling kok di suruh maen bola
173;Squad mahal dan lebih mahal dari lawannya tapi kalah telak Lebih sakitnya lagi kebobolan dari tendangan tengah lapanganðŸ¤¦ðŸ½â€â™‚ï¸ Haduuuh, kelemahan kendala bahasa dari pelatih hingga pemain naturalisasi Padahal yang terpenting dari sepak bola adalah kekompakan Telan pahit 0-4  ðŸ¤¦ðŸ½â€â™‚ï¸;negatif;squad mahal dan lebih mahal dari lawannya tapi kalah telak lebih sakitnya lagi kebobolan dari tendangan tengah lapangan haduuuh kelemahan kendala bahasa dari pelatih hingga pemain naturalisasi padahal yang terpenting dari sepak bola adalah kekompakan telan pahit    
174;<username> Terus aja naturalisasi, sampai anak2 Indonesia pada males main bola di dalam negeri ðŸ˜¢ðŸ˜­ðŸ˜­ðŸ˜­;negatif; terus aja naturalisasi sampai anak indonesia pada males main bola di dalam negeri
175;babak1 : mana sih org2 yg ga setuju pemain belakang, di naturalisasi semua. Liat noh, bolong semua Babak 2 : ajg, pemain lokal atau pemain naturalisasi, blunder semua cok  Welcome to fans bola indonesiaðŸ™;negatif;babak mana sih org yg ga setuju pemain belakang di naturalisasi semua liat noh bolong semua babak   ajg pemain lokal atau pemain naturalisasi blunder semua cok welcome to fans bola indonesia
176;<username> <username> keseringan dipuji jadi kepedean ini para pemain naturalisasi. jadinya bego maennya.;negatif;  keseringan dipuji jadi kepedean ini para pemain naturalisasi jadinya bego maennya
177;Terlalu berat lawannya, malah bikin mood pemain gk baik... Menurutku hentikan program instan naturalisasi, mending benahi kelemahan yg mendasar sejak usia dini... Seperti passing, nahan bola, serta nutrisi yg baik biar fisiknya nggk kalah bersaing,,, terus benahin kompetisi.;negatif;terlalu berat lawannya malah bikin mood pemain gk baik menurutku hentikan program instan naturalisasi mending benahi kelemahan yg mendasar sejak usia dini sepe i passing nahan bola se a nutrisi yg baik biar fisiknya nggk kalah bersaing terus benahin kompetisi
178;Pemain naturalisasi di naturalisasi cuma buat di cadangin .. Trs ada yg bilang ini cuma pemanasan.. Ah yg bukan pemanasan ge cadangan terus.. Si dendy dimaenin terus.. Emang bener bener ga badminton ga bola wkwkwk..;negatif;pemain naturalisasi di naturalisasi cuma buat di cadangin trs ada yg bilang ini cuma pemanasan ah yg bukan pemanasan ge cadangan terus si dendy dimaenin terus emang bener bener ga badminton ga bola wkwkwk
179;<username> <username> <username> Nih lo aja kemakan omongannya STY. Sibuk jelekÂ²an org yg lo sebut lokal pret. Lo sendiri sebetulnya udah masuk ke golongan naturalisasi pret. Ini yg namanya membentur-benturkan. Ini ulahnya STY cuma lo ga sadar aja.;negatif;   nih lo aja kemakan omongannya sty sibuk jelek an org yg lo sebut lokal pret lo sendiri sebetulnya udah masuk ke golongan naturalisasi pret ini yg namanya membentur benturkan ini ulahnya sty cuma lo ga sadar aja
180;"Agak miris lihat supporter bola skrng, terlalu muja naturalisasi, jujur gue udah muak sm supporter"" modelan kek gitu, skrg nnton match indo aja udah gak se excited dulu, ya krna males sm supporternya yg dikit"" bawa"" personal.""";negatif;agak miris lihat suppo er bola skrng terlalu muja naturalisasi jujur gue udah muak sm suppo er modelan kek gitu skrg nnton match indo aja udah gak se dulu ya krna males sm suppo ernya yg dikit bawa personal
181;<username> <username> <username> Coba lo liat sana ke google, alasan STY minta naturalisasi itu krn dia nilai pemain lokal bermasalah mentalnya. Dia juga bilang pemain naturalisasi akan menutupi kelemahan ini. Sadar atau ga-sadar, dg ngomong gini STY sudah membenturkan lokal sama naturalisasi.;negatif;   coba lo liat sana ke google alasan sty minta naturalisasi itu krn dia nilai pemain lokal bermasalah mentalnya dia juga bilang pemain naturalisasi akan menutupi kelemahan ini sadar atau ga sadar dg ngomong gini sty sudah membenturkan lokal sama naturalisasi
182;<username> <username> <username> STY itu sering menjelek-jelekan pemain lokal, semisal mengatakan bermental jelek, terus dia memuji-muji naturalisasi, dg bilang timnas lebih menakutkan dg adanya naturalisasi. Ini kan perbuatan yg membentur-benturkan lokal sama naturalisasi. Cuma fensnya aja yg gak pada sadar.;negatif;   sty itu sering menjelek jelekan pemain lokal semisal mengatakan bermental jelek terus dia memuji muji naturalisasi dg bilang timnas lebih menakutkan dg adanya naturalisasi ini kan perbuatan yg membentur benturkan lokal sama naturalisasi cuma fensnya aja yg gak pada sadar
183;<username> <username> Betul...polarisasi naturalisasi n pembinaan prmain lokal itu udah sangat ga relevan...keduanya bisa berjalan beriringan...yang  kita ingin kan adalah out put terbaik dari keduanya..;negatif;  betul polarisasi naturalisasi pembinaan prmain lokal itu udah sangat ga relevan keduanya bisa berjalan beriringan yang kita ingin kan adalah out put terbaik dari keduanya
184;"Kalau gw liat2 STY lovers ini pendukung program Naturalisasi dan rata2 emang fans bola luar disini, karena nanti kalau timnas bagus mereka ada bahan, tuh liat timnas sekarang ga ada yg maen di liga dagelan"" ðŸ˜‚""";negatif;kalau gw liat sty lovers ini pendukung program naturalisasi dan rata emang fans bola luar disini karena nanti kalau timnas bagus mereka ada bahan tuh liat timnas sekarang ga ada yg maen di liga dagelan
185;Fans bola indonesia dari jaman dulu masih aja polemik soal naturalisasi.   Gw sih posisi nolak naturalisasi. Dari 250juta, ada banyak bakat...tapi ya gitu disia2in. Sementara bahkan naturalisasi ternyata jadi projekan.  Kok bisa orang dukung dan oke aja soal naturalisasi;negatif;fans bola indonesia dari jaman dulu masih aja polemik soal naturalisasi gw sih posisi nolak naturalisasi dari    juta ada banyak bakat tapi ya gitu disiain sementara bahkan naturalisasi ternyata jadi projekan kok bisa orang dukung dan oke aja soal naturalisasi
186;"<username> Memilih <username> sama kyk PSSI yg ketumnya sering di kritik oposisi"".. Apa sudah keabisan Putra Indonesia Terbaik sampai harus milih pemain ""Naturalisasi"".. bedanya klw timnas bola salah satu ""duta negara"" Klw Presiden satu ""pemimpin"" Negara... Mikirrrr""";negatif; memilih  sama kyk pssi yg ketumnya sering di kritik oposisi apa sudah keabisan putra indonesia terbaik sampai harus milih pemain naturalisasi bedanya klw timnas bola salah satu duta negara klw presiden satu pemimpin negara mikirrrr
187;Hope..program naturalisasi ni sebagai bersifat sementara..lagi manis kejayaan bola sepak negara ini hasil daripada pemain bangsa Malaysia #sukan;negatif;hope program naturalisasi ni sebagai bersifat sementara lagi manis kejayaan bola sepak negara ini hasil daripada pemain bangsa malaysia
188;<username> <username> <username> Kebablasan yg di maksd itu, naturalisasi tapi aspek pembinaannyaa di lupain. Kualitas liga turun terus. Standarisasi klub ga di jalanin. Kompetisi profesional cuma ada liga. Nah itu.;negatif;   kebablasan yg di maksd itu naturalisasi tapi aspek pembinaannyaa di lupain kualitas liga turun terus standarisasi klub ga di jalanin kompetisi profesional cuma ada liga nah itu
189;<username> <username> <username> Padahal, program naturalisasi yang dia kerjain itu comot pemain random. Palingan mas mas tarkam dari Belanda yang kebetulan pagi main bola;negatif;   padahal program naturalisasi yang dia kerjain itu comot pemain random palingan mas mas tarkam dari belanda yang kebetulan pagi main bola
190;<username> Anak kenal bola 2010 gak paham naturalisasi bukti pembinaan bola itu gagal.  Dia gak tau gimana 2004 indo maen di piala asia tanpa pemain asing. 2004 generasi terbaik timnas kala itu;negatif; anak kenal bola   gak paham naturalisasi bukti pembinaan bola itu gagal dia gak tau gimana   indo maen di piala asia tanpa pemain asing   generasi terbaik timnas kala itu
191;<username> <username> Maka nya klo mau bola maju itu pembinaan. Tau naturaslisasi bntuk kegagalan knpa naturalisasi lagi bukan pembinaan usia dini;negatif;  maka nya klo mau bola maju itu pembinaan tau naturaslisasi bntuk kegagalan knpa naturalisasi lagi bukan pembinaan usia dini
192;<username> Naturalisasi bukti gagal nya pembinaan sepak bola indo;negatif; naturalisasi bukti gagal nya pembinaan sepak bola indo
193;<username> <username> dari -+ 250 juta jiwa Masyarakat Indonesia gak ada yang bisa nendang bola,jadi wajar jalan terakhir naturalisasi walaupun hasilnya sama aja.;negatif;  dari   juta jiwa masyarakat indonesia gak ada yang bisa nendang bola jadi wajar jalan terakhir naturalisasi walaupun hasilnya sama aja
194;STY tidak pernah mengeluhkan kualitas pemain lokal. Tetapi permasalahan mindset dan etos kerja.. https://t.co/uFigy90uHR;positif;sty tidak pernah mengeluhkan kualitas pemain lokal tetapi permasalahan mindset dan etos kerja coufigyuhr
195;<username> Indonesia 0-2 Libya (STY pasti berbenah baik taktik &amp  susunan pemain. Tapi Libya sepertinya masih akan unggul) #strategibola #Tebakskor #indonesia #libya  <username> <username> <username>;positif; indonesia     libya sty pasti berbenah baik taktik amp susunan pemain tapi libya sepe inya masih akan unggul   
196;<username> Suka tidak suka Coach STY lah yang berhasil membawa gairah positif untuk timnas level senior. Karena Sejak evan dimas cs berhasil juala aff u19 orang2 cenderung lebih mengikuti timnas level junior ketimbang senior karena peforma timnas senior yang waktu itu jelek.;positif; suka tidak suka coach sty lah yang berhasil membawa gairah positif untuk timnas level senior karena sejak evan dimas cs berhasil juala aff u orang cenderung lebih mengikuti timnas level junior ketimbang senior karena peforma timnas senior yang waktu itu jelek
197;<username> Yang paling kerja keras tinggi menurut sty itu kalau lokal ada 2 pemain..asnawi dan pratama arhan. Dia sering bikin contoh 2 pemain itu ketika ngelatih timnas kelompok umur. Arhan pas masih sering main emang gg..salah pilih klub aja dia;positif; yang paling kerja keras tinggi menurut sty itu kalau lokal ada   pemain asnawi dan pratama arhan dia sering bikin contoh   pemain itu ketika ngelatih timnas kelompok umur arhan pas masih sering main emang gg salah pilih klub aja dia
198;<username> <username> Salah satu alasan juga knp klub2 korea ttp ngelirik Asnawi, krn dari data statistik mereka pasti Asnawi msh terhitung bagus buat standar kuota pemain asing, bukan masalah koneksi STY dll. Arhan juga trmasuk kategori ini.;positif;  salah satu alasan juga knp klub korea ttp ngelirik asnawi krn dari data statistik mereka pasti asnawi msh terhitung bagus buat standar kuota pemain asing bukan masalah koneksi sty dll arhan juga trmasuk kategori ini
199;<username> <username> Tolonglah, sty ngelath dri rank 170an, dan tekhnik pasing operan dasar aja masih di ajarin di latihan timnas yg seharusnya di akademi ssb dan klub masing2, ga melulu soal piala juara dan aff, target pssi itu naik level ke jajaran asia bukan asean lagi;positif;  tolonglah sty ngelath dri rank    an dan tekhnik pasing operan dasar aja masih di ajarin di latihan timnas yg seharusnya di akademi ssb dan klub masing ga melulu soal piala juara dan aff target pssi itu naik level ke jajaran asia bukan asean lagi
200;Namanya aja pertandingan uji coba ya wajar kalau STY bereksperimen. Netizen coba baca deh ulasannya bagus ini ðŸ‘ðŸ»;positif;namanya aja pe andingan uji coba ya wajar kalau sty bereksperimen netizen coba baca deh ulasannya bagus ini
201;<username> Netijen yg benci sty mana mau liat fakta beginian ndos. Mereka beralibi sty belum juara. Padahal memberi jam terbang pemain muda itu penting.;positif; netijen yg benci sty mana mau liat fakta beginian ndos mereka beralibi sty belum juara padahal memberi jam terbang pemain muda itu penting
202;<username> Lhaaaa mungkin itu yg dijadikan dasar bagi sty untuk masang asnawi. Jadi bukan karena kesayangan dll;positif; lhaaaa mungkin itu yg dijadikan dasar bagi sty untuk masang asnawi jadi bukan karena kesayangan dll
203;Arkhan Fikri tidak usah kecewa.Pada saatnya Timnas Indonesia akan diisi full https://t.co/iwhKClmSyu memburu juara:Piala Asia tenggara dan Piala Asia. STY hebat Erick Thohir juga hebat. <username>;positif;arkhan fikri tidak usah kecewa pada saatnya timnas indonesia akan diisi full coiwhkclmsyu memburu juarapiala asia tenggara dan piala asia sty hebat erick thohir juga hebat 
204;<username> Gila sih sty, pemain tertua aja usia 31ðŸ˜‚;positif; gila sih sty pemain te ua aja usia  
205;<username> <username> Permasalahan timnas selama ini kan di lini depan, sty lbh banyakin stok lini depan jg bukan tanpa alasan. Bisa jadi itu strategi sty kalo lini depan deadlock kan? Witan sadil Egy juga posisinya mobile di depan sepertinya, untuk striker murni kemungkinan cuman Dimas dan sananta.;positif;  permasalahan timnas selama ini kan di lini depan sty lbh banyakin stok lini depan jg bukan tanpa alasan bisa jadi itu strategi sty kalo lini depan deadlock kan witan sadil egy juga posisinya mobile di depan sepe inya untuk striker murni kemungkinan cuman dimas dan sananta
